"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204557_s_at",-2.59002231504268,6.90887667968606,-10.6347951496796,2.94793614717901e-06,0.00158018047889228,5.2280009160113
"223923_at",-3.34511535573132,5.46900332460786,-10.6169675368013,2.9881995364076e-06,0.00158621174420471,5.21533813213628
"213217_at",-3.4228918577401,5.26031374141255,-10.6040683764124,3.0177119349531e-06,0.00158647500041885,5.20616072869905
"240859_at",-2.92526054411023,4.93973936203986,-10.5631070602308,3.11359030249977e-06,0.00160921062722248,5.17693267674926
"209469_at",-4.19503287872586,7.65383958722513,-10.5508474219658,3.14293899650573e-06,0.00160921062722248,5.16815950984473
"225001_at",2.78041434209318,7.45937134601135,10.5440254405174,3.15940294418721e-06,0.00160921062722248,5.16327254954018
"225894_at",-2.99057027420807,4.83762259441423,-10.526688509374,3.20167486304133e-06,0.00160921062722248,5.15083685745737
"1565809_x_at",3.91699670045652,4.19962711346702,10.5237214668546,3.20897187208699e-06,0.00160921062722248,5.14870626626405
"203386_at",-2.25760440278837,9.30161247185496,-10.4883834343055,3.29731158619434e-06,0.00160921062722248,5.12327765770473
"218012_at",-2.36566960111908,8.32179952476495,-10.4851599923027,3.30550281186575e-06,0.00160921062722248,5.1209532629752
"229844_at",-2.22338582704523,7.12462554215733,-10.4840907076984,3.30822499276943e-06,0.00160921062722248,5.12018203160805
"212915_at",-2.60612601169776,8.72728696748315,-10.4771913656355,3.32584912439213e-06,0.00160921062722248,5.11520366104483
"231882_at",3.03862033957776,7.10327838102576,10.4508329607452,3.39414472358098e-06,0.00161734592889516,5.09614973823363
"202975_s_at",-3.14152304426812,9.4619772684621,-10.447905586806,3.4018249990479e-06,0.00161734592889516,5.09403022872629
"235759_at",-2.74373590605287,6.89878997569906,-10.4286363356258,3.45286284468495e-06,0.00162745927614784,5.08006182208378
"239047_at",-2.30383617682044,5.40300632671804,-10.4118637504862,3.4979787774775e-06,0.0016346323902443,5.06787937610607
"200810_s_at",-1.92926831277454,11.1295699530834,-10.3950023622664,3.54399257905775e-06,0.00163531683016121,5.05560996300166
"238919_at",-4.38403987157476,4.46247755285605,-10.387573747421,3.56447725063361e-06,0.00163531683016121,5.05019727063402
"227688_at",-2.57207848170381,7.06155854841245,-10.3722283622293,3.60720920043465e-06,0.00163531683016121,5.03900230511349
"236644_at",-3.06413304449783,4.47419376195573,-10.3582205086071,3.64671228625653e-06,0.00163531683016121,5.02876673389718
"212609_s_at",-2.23873334175513,7.86037026370828,-10.3385441064239,3.70301255726426e-06,0.00163531683016121,5.01436267813909
