"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"232096_x_at",-3.14264743834309,5.72413569644684,-18.6559103138136,8.76566737917371e-28,6.84661234223318e-25,52.9090125889842
"242075_at",-2.47645771083374,4.58112301886588,-18.5325026161236,1.26127203226372e-27,9.71268286817165e-25,52.5508580931492
"225721_at",-2.51143166568924,7.64267060443396,-18.5072134660071,1.35919242970369e-27,1.0213356458976e-24,52.477249044021
"1558965_at",-2.30086437304916,5.80087934247404,-18.5061068654623,1.36364887335208e-27,1.0213356458976e-24,52.4740263933895
"1558075_at",-2.94742370104589,5.0507135221577,-18.4976636339081,1.39814175115968e-27,1.03301892222507e-24,52.4494333316208
"233792_at",-2.28083323276963,4.49571402145524,-18.4689081024795,1.52238500140374e-27,1.10981866602332e-24,52.3656142274447
"222910_s_at",-3.99294973816538,5.89682597902128,-18.4643406408894,1.54312419837439e-27,1.11013573087e-24,52.3522918687827
"210036_s_at",2.97041989042884,9.81989001197001,18.4227912222524,1.74543288786749e-27,1.23937069018383e-24,52.2309906430803
"224954_at",2.92151195822343,11.9402418656587,18.416986137725,1.77576221611862e-27,1.24474101495238e-24,52.2140272262359
"1556510_at",4.62884581711497,11.6299268494164,18.361033690349,2.09690977187077e-27,1.45124736426626e-24,52.0503260706217
"1555728_a_at",-3.91178937996745,5.07814708923241,-18.3219009105705,2.35592646398934e-27,1.6090648616327e-24,51.9356200777962
"227217_at",1.90725516767885,7.68476227226845,18.3179522313707,2.38379979501141e-27,1.6090648616327e-24,51.9240358906193
"242077_x_at",7.73683344993982,10.2281202361202,18.2677862309904,2.76840958898943e-27,1.84588773509753e-24,51.7767076374391
"1554331_a_at",3.83622401351068,8.44386337787142,18.126449479324,4.22574095839473e-27,2.75277847291802e-24,51.3600584473526
"236511_at",-2.35443243520414,5.37795023805175,-18.1261740417755,4.22923441655444e-27,2.75277847291802e-24,51.359244211818
"1557419_a_at",-1.93962094689536,5.29778319112277,-18.0853868750535,4.78020930896868e-27,3.07479934079838e-24,51.2385734463865
"211424_x_at",-3.62951430427628,6.28726018908279,-18.0712690447684,4.98740878748192e-27,3.17077413320435e-24,51.1967599400472
"233104_at",-2.62184973339717,5.34191656425655,-17.9750587318587,6.66373096224904e-27,4.1878102340341e-24,50.9111880205595
"236141_at",-4.13177679789639,4.85916726765457,-17.9696980247144,6.77239886065506e-27,4.20773758757177e-24,50.8952444400859
"214712_at",-2.35085252421045,4.64956607487138,-17.9549332195539,7.08106710496337e-27,4.35008251644801e-24,50.8513141619981
