"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1564358_at",-2.63266563731235,6.91965632571148,-6.03637658183708,0.000228070725989222,0.0067029974295177,0.942041185170145
"228377_at",5.20405044908613,6.44043971758802,6.03607064666551,0.000228153236695609,0.0067029974295177,0.941671744951455
"234701_at",-2.05594290028549,3.85210640075603,-6.03541568315687,0.000228329989960245,0.00670315267002831,0.940880780799312
"218115_at",3.28352291175641,5.57463708142607,6.03451478821242,0.000228573356454897,0.00670315267002831,0.93979271736312
"232868_at",-1.58147384973072,3.59823479293958,-6.03449853301238,0.000228577750212834,0.00670315267002831,0.939773083932984
"204164_at",1.61648884385631,6.00860260957195,6.03423527799162,0.000228648920523142,0.00670315267002831,0.939455112738762
"212312_at",2.06651387363646,7.28332567239365,6.03357156516061,0.000228828461006235,0.00670482106404926,0.938653406284477
"212758_s_at",-2.50337381396269,5.40926985961064,-6.03174593159763,0.000229323106522469,0.00671571550568612,0.936447874272822
"229305_at",1.98402724038461,4.31493112707886,6.03079802452775,0.000229580397263187,0.0067196510815657,0.935302526238297
"226677_at",-2.07250140564484,6.6237493924777,-6.02800700066319,0.000230339798246699,0.00673618662668282,0.931929402556172
"226918_at",-2.12675119059943,6.48884305080542,-6.02741112658159,0.000230502282863948,0.00673618662668282,0.931209106436611
"219068_x_at",1.34955672817979,5.5029160599258,6.02707703683292,0.000230593438155141,0.00673618662668282,0.930805234334863
"228277_at",1.44132784942573,5.98557378441865,6.02625556601811,0.000230817741217618,0.00673618662668282,0.929812111836672
"228905_at",-2.00793492007275,7.15029192771564,-6.02620844139402,0.000230830615846812,0.00673618662668282,0.929755137259152
"1557455_s_at",-1.62171234151322,5.2036707241248,-6.02601099427477,0.000230884567689138,0.00673618662668282,0.929516416404375
"237400_at",-1.40783107261047,6.64128434474398,-6.02498233100643,0.000231165869739165,0.00674079676159406,0.928272633457136
"238595_at",-2.20001558502664,7.27565175713107,-6.02406487682554,0.000231417075929535,0.00674202970560354,0.927163187291718
"218772_x_at",-2.20975269926913,5.74641269058322,-6.02392729068526,0.000231454773798223,0.00674202970560354,0.926996798562614
"225947_at",1.32882556979541,6.74151062021001,6.02219532104592,0.000231929898231984,0.00674935282488286,0.924902020639551
"1554246_at",4.60699859116719,3.57666158608077,6.02104564303431,0.000232245872989878,0.00674935282488286,0.923511271866543
"210127_at",2.5227563311526,3.72143933017057,6.02103061510089,0.000232250006342447,0.00674935282488286,0.923493091529394
"211398_at",1.3239258602681,3.52959725524378,6.0206324820778,0.000232359539957891,0.00674935282488286,0.923011430412076
"204768_s_at",1.89848675520867,5.85378710031174,6.0196117005038,0.000232640633301058,0.00674935282488286,0.921776384754293
"231923_at",-2.05650182343517,8.48356900714052,-6.01958103791914,0.000232649082621315,0.00674935282488286,0.921739283702401
"239741_at",-2.33058094099412,3.91596647471631,-6.01940731638527,0.000232696959306352,0.00674935282488286,0.921529081907956
"204318_s_at",2.9979229739067,6.36663435262258,6.01932495187894,0.000232719662264213,0.00674935282488286,0.921429419929177
"209864_at",1.27178083821747,6.97122789787664,6.01812134641273,0.000233051700231896,0.00674935282488286,0.919972931925168
"238731_at",-1.46088930155644,3.83201499767907,-6.01790959736941,0.000233110168816527,0.00674935282488286,0.919716671863283
"203953_s_at",6.6515492523658,5.35702316425759,6.01775796060123,0.000233152048917786,0.00674935282488286,0.919533156083051
"202475_at",1.36717996838962,9.19060461211259,6.01762956369944,0.000233187516894444,0.00674935282488286,0.919377763351093
"1560803_at",4.05836722135595,3.39069421829489,6.01643104318809,0.000233518876952404,0.00675391000030725,0.917927135391385
"200601_at",1.53195966851128,9.3147329577088,6.0157875925754,0.00023369698657291,0.00675391000030725,0.917148249989853
