"gene","MeanDecreaseGini"
"242406_at",0
"204836_at",0
"204437_s_at",0
"232318_s_at",0
"232165_at",0
"202705_at",0
"204885_s_at",0
"205778_at",0
"205043_at",0
"205334_at",0
"236773_at",0
"206125_s_at",0
"205780_at",0
"218960_at",0
"203290_at",0
"230381_at",0
"237810_at",0
"223748_at",0
"1552487_a_at",0
"219836_at",0
"222039_at",0
"218186_at",0
"206373_at",0
"201292_at",0
"213693_s_at",0
"206756_at",0
"210121_at",0
"218963_s_at",0
"202936_s_at",0
"209396_s_at",0
"1555801_s_at",0
"230966_at",0
"229490_s_at",0
"203892_at",0
"217388_s_at",0
"210347_s_at",0
"91826_at",0
"203021_at",0
"204942_s_at",0
"229019_at",0
"206772_at",0
"218726_at",0
"238997_at",0
"208017_s_at",0
"223484_at",0
"226960_at",0
"225645_at",0
"235342_at",0
"208651_x_at",0
"213921_at",0
"228143_at",0
"210096_at",0
"222008_at",0
"244697_at",0
"206074_s_at",0
"224646_x_at",0
"223229_at",0
"219121_s_at",0
"213432_at",0
"203287_at",0
"210481_s_at",0
"202489_s_at",0
"228066_at",0
"214456_x_at",0
"218261_at",0
"225846_at",0
"227253_at",0
"229634_at",0
"231668_x_at",0
"205309_at",0
"202018_s_at",0
"209772_s_at",0
"230776_at",0
"216905_s_at",0
"1553589_a_at",0
"1564479_a_at",0
"205476_at",0
"1554179_s_at",0
"209114_at",0
"205713_s_at",0
"210827_s_at",0
"220051_at",0
"218755_at",0
"206987_x_at",0
"226213_at",0
"209395_at",0
"223121_s_at",0
"239887_at",0
"204848_x_at",0
"218542_at",0
"208470_s_at",0
"209730_at",0
"211430_s_at",0
"206697_s_at",0
"204470_at",0
"206291_at",0
"209771_x_at",0
"205081_at",0
"227475_at",0
"235700_at",0
"232855_at",0
"237204_at",0
"206859_s_at",0
"1557155_a_at",0
"224189_x_at",0
"210746_s_at",0
"212023_s_at",0
"204304_s_at",0
"201422_at",0
"241772_at",0
"202888_s_at",0
"202790_at",0
"219153_s_at",0
"241994_at",0
"1562473_at",0
"205127_at",0
"1559296_at",0
"204198_s_at",0
"211029_x_at",0
"207271_x_at",0
"202870_s_at",0
"204869_at",0
"205980_s_at",0
"204416_x_at",0
"230626_at",0
"236725_at",0
"204990_s_at",0
"219918_s_at",0
"209774_x_at",0
"228241_at",0
"228303_at",0
"231381_at",0
"229599_at",0
"202094_at",0
"232979_at",0
"217022_s_at",0
"204419_x_at",0
"223948_s_at",0
"201839_s_at",0
"219545_at",0
"224146_s_at",0
"223949_at",0
"223549_s_at",0
"1554847_at",0
"202826_at",0
"204733_at",0
"234841_x_at",0
"219990_at",0
"231767_at",0
"229782_at",0
"1554246_at",0
"211470_s_at",0
"37117_at",0
"211381_x_at",0
"202575_at",0
"231867_at",0
"203819_s_at",0
"213714_at",0
"210397_at",0
"223278_at",0
"205358_at",0
"206581_at",0
"208978_at",0
"243929_at",0
"217109_at",0
"1569361_a_at",0
"208399_s_at",0
"1567912_s_at",0
"238567_at",0
"219271_at",0
"204124_at",0
"230943_at",0
"203559_s_at",0
"221690_s_at",0
"210503_at",0
"209590_at",0
"205113_at",0
"215176_x_at",0
"237397_at",0
"227194_at",0
"238028_at",0
"226803_at",0
"209260_at",0
"203186_s_at",0
"219850_s_at",0
"231307_at",0
"222242_s_at",0
"229566_at",0
"206228_at",0
"202207_at",0
"228232_s_at",0
"1560431_at",0
"238815_at",0
"1568616_a_at",0
"232277_at",0
"235572_at",0
"244780_at",0
"232151_at",0
"220393_at",0
"227177_at",0
"202454_s_at",0
"214390_s_at",0
"209552_at",0
"206002_at",0
"220651_s_at",0
"216007_at",0
"213917_at",0
"209173_at",0
"218355_at",0
"219127_at",0
"222830_at",0
"227819_at",0
"207978_s_at",0
"207316_at",0
"244011_at",0
"225757_s_at",0
"217561_at",0
"205163_at",0
"204822_at",0
"207165_at",0
"235515_at",0
"1569878_at",0
"221436_s_at",0
"232567_at",0
"224339_s_at",0
"227053_at",0
"218806_s_at",0
"223597_at",0
"206659_at",0
"230863_at",0
"227614_at",0
"219857_at",0
"227174_at",0
